time,open,high,low,close,volume
1569686400,8067.1,8179.0,8038.28,8146.66,4763.487000000001
1569700800,8145.7,8311.0,8057.35,8195.38,11773.482000000005
1569715200,8199.0,8226.35,8121.96,8130.22,4124.529000000001
1569729600,8130.16,8141.26,8040.11,8083.08,4554.654
1569744000,8086.33,8116.99,8031.34,8073.12,4084.8979999999997
1569758400,8072.89,8078.05,7888.98,7965.7,8625.319000000001
1569772800,7965.7,8032.73,7920.01,7956.4,6285.115999999999
1569787200,7951.59,8127.06,7918.75,8041.96,8291.539999999994
1569801600,8042.08,8054.82,7953.58,7972.07,6088.484000000002
1569816000,7972.03,7974.75,7709.01,7792.82,13568.501999999986
1569830400,7793.19,8094.48,7775.01,8034.78,12089.774999999998
1569844800,8033.48,8300.66,7982.08,8280.0,14038.751000000006
1569859200,8277.05,8331.89,8186.0,8269.65,4567.829000000001
1569873600,8268.61,8288.86,8162.0,8285.84,4059.178999999998
1569888000,8285.31,8499.0,8171.0,8392.36,7442.336000000002
1569902400,8392.39,8466.75,8341.0,8405.03,3662.2519999999986
1569916800,8400.79,8409.0,8285.0,8353.0,5275.655
1569931200,8350.14,8424.72,8270.0,8361.09,7066.940000000001
1569945600,8361.18,8494.49,8225.03,8295.66,10918.965999999997
1569960000,8300.0,8396.56,8263.01,8290.0,4846.6550000000025
1569974400,8290.0,8325.4,8201.0,8239.0,4674.892
1569988800,8241.34,8262.25,8149.35,8194.52,5230.51
1570003200,8194.76,8274.5,8194.76,8255.57,3348.702000000002
1570017600,8256.32,8280.0,8185.28,8230.4,5439.206999999996
1570032000,8230.41,8264.36,8177.29,8250.79,6361.525999999997
1570046400,8250.79,8365.92,8209.18,8352.14,5274.342
1570060800,8353.4,8386.0,8302.86,8323.92,3741.139000000003
1570075200,8324.55,8363.36,8237.37,8258.14,4023.595
1570089600,8258.9,8288.88,8184.91,8215.26,5001.386000000002
1570104000,8215.49,8243.0,8020.0,8104.71,8390.436
1570118400,8104.41,8206.25,8086.0,8141.03,5529.020999999995
1570132800,8142.77,8274.59,8111.49,8220.27,6744.653000000002
1570147200,8219.95,8227.42,8050.0,8101.77,8195.015999999994
1570161600,8100.25,8140.0,7979.95,8126.61,4461.003999999999
1570176000,8130.0,8170.0,8080.81,8145.01,3468.235999999998
1570190400,8146.18,8179.0,8117.04,8140.95,3790.722999999998
1570204800,8142.63,8199.5,8121.1,8179.0,4624.848999999998
1570219200,8179.0,8208.88,8124.76,8130.56,3881.2830000000004
1570233600,8130.0,8144.44,8089.5,8131.0,5235.240999999999
1570248000,8131.5,8138.63,8092.66,8104.88,4075.449999999999
1570262400,8104.88,8109.43,8066.0,8077.76,4602.572999999996
1570276800,8077.75,8085.0,8010.0,8077.11,6494.836999999998
1570291200,8075.3,8095.87,8028.14,8063.96,4731.815
1570305600,8063.33,8175.0,8055.79,8122.14,5122.089999999997
1570320000,8122.01,8148.43,8009.0,8039.21,7650.911999999997
1570334400,8039.66,8073.19,7889.64,7958.19,7482.703
