time,open,high,low,close,volume
1568476800,10355.61,10358.08,10325.41,10344.95,453.34799999999996
1568478600,10348.11,10356.18,10328.21,10349.79,423.309
1568480400,10351.84,10396.68,10351.84,10388.34,496.18600000000015
1568482200,10387.78,10398.0,10361.62,10380.36,489.6219999999999
1568484000,10380.76,10389.14,10338.66,10367.14,471.036
1568485800,10366.23,10384.42,10365.67,10382.01,381.71099999999996
1568487600,10382.71,10388.43,10355.73,10357.47,406.91299999999995
1568489400,10358.4,10377.76,10356.32,10363.8,410.55400000000003
1568491200,10363.63,10388.04,10361.45,10377.88,408.1160000000001
1568493000,10377.91,10397.96,10365.0,10395.11,379.22400000000005
1568494800,10395.04,10419.97,10317.39,10331.14,539.7920000000001
1568496600,10332.77,10385.61,10329.07,10377.71,472.0119999999999
1568498400,10377.74,10387.9,10325.56,10338.37,368.511
1568500200,10338.41,10356.15,10325.73,10336.28,395.221
1568502000,10336.37,10346.79,10326.91,10332.36,394.42199999999997
1568503800,10333.91,10349.03,10328.64,10332.25,419.209
1568505600,10332.25,10359.2,10332.25,10347.94,413.799
1568507400,10347.72,10350.61,10312.05,10320.93,463.181
1568509200,10321.61,10329.97,10311.79,10328.1,431.86599999999993
1568511000,10328.41,10337.19,10024.81,10332.65,633.2230000000001
1568512800,10331.84,10335.0,10302.47,10307.4,428.27199999999993
1568514600,10307.4,10325.43,10302.41,10323.43,412.138
1568516400,10323.43,10323.94,10301.26,10307.65,374.1620000000001
1568518200,10309.07,10311.98,10288.0,10303.39,382.7220000000001
1568520000,10302.49,10309.24,10273.21,10278.96,363.8480000000001
1568521800,10283.35,10318.16,10275.51,10312.4,468.585
1568523600,10310.76,10317.19,10301.13,10308.59,326.65400000000005
1568525400,10308.17,10326.59,10302.64,10311.07,453.68500000000006
1568527200,10310.68,10324.16,10307.94,10309.16,371.84900000000005
1568529000,10308.11,10317.06,10295.57,10312.47,329.92699999999996
1568530800,10314.16,10315.0,10304.51,10314.16,316.06299999999993
1568532600,10313.7,10315.0,10292.86,10308.96,388.75600000000003
1568534400,10308.08,10308.4,10284.73,10302.16,432.78600000000006
1568536200,10302.16,10305.04,10283.56,10288.89,376.995
1568538000,10288.89,10288.89,10268.55,10273.22,423.45199999999994
1568539800,10274.36,10296.78,10272.05,10285.56,401.713
1568541600,10284.3,10307.0,10275.6,10297.97,444.41599999999994
1568543400,10297.97,10318.49,10296.6,10310.23,336.53700000000003
1568545200,10308.83,10320.0,10301.68,10313.34,412.30299999999994
1568547000,10314.17,10314.17,10289.66,10296.63,421.84
1568548800,10296.54,10308.1,10255.41,10298.86,479.471
1568550600,10298.86,10311.91,10291.37,10309.2,389.6840000000001
1568552400,10309.2,10310.75,10281.84,10291.82,345.35200000000003
1568554200,10289.08,10289.08,10268.59,10273.67,553.1260000000001
1568556000,10273.76,10291.0,10261.98,10285.92,573.735
1568557800,10284.7,10289.35,10252.28,10270.47,557.4219999999999
1568559600,10269.43,10295.35,10263.03,10293.82,441.89300000000014
1568561400,10293.18,10317.29,10280.27,10306.37,415.18800000000005
1568563200,10306.79,10332.61,10293.92,10308.35,521.283
1568565000,10310.14,10323.5,10298.1,10302.11,445.373
1568566800,10302.11,10302.47,10286.88,10297.55,444.371
1568568600,10297.42,10315.64,10294.05,10309.03,444.8070000000001
1568570400,10309.11,10310.04,10284.25,10296.59,462.68
1568572200,10295.89,10297.04,10285.01,10289.35,440.66
